GID_4,District,Municipality,County,State,Province,AQI,Level
1,3172051003,PADEMANGAN,Ancol,JAKARTA UTARA,DKI JAKARTA,76,Fair
2,3173041007,TAMBORA,Angke,JAKARTA BARAT,DKI JAKARTA,7,Good
3,3175041005,KRAMAT JATI,Bale Kambang,JAKARTA TIMUR,DKI JAKARTA,181,Poor
4,3175031003,JATINEGARA,Bali Mester,JAKARTA TIMUR,DKI JAKARTA,127,Poor
5,3175101006,CIPAYUNG,Bambu Apus,JAKARTA TIMUR,DKI JAKARTA,13,Good
6,3174031002,MAMPANG PRAPATAN,Bangka,JAKARTA SELATAN,DKI JAKARTA,203,Very Poor
7,3175051002,PASAR REBO,Baru,JAKARTA TIMUR,DKI JAKARTA,1,Good
8,3175041004,KRAMAT JATI,Batu Ampar,JAKARTA TIMUR,DKI JAKARTA,410,Hazardous
9,3171071002,TANAH ABANG,Bendungan Hilir,JAKARTA PUSAT,DKI JAKARTA,475,Hazardous
10,3175031002,JATINEGARA,Bidara Cina,JAKARTA TIMUR,DKI JAKARTA,191,Poor
11,3174101002,PESANGGRAHAN,Bintaro,JAKARTA SELATAN,DKI JAKARTA,306,Hazardous
12,3174011005,TEBET,Bukit Duri,JAKARTA SELATAN,DKI JAKARTA,266,Very Poor
13,3171041006,SENEN,Bungur,JAKARTA PUSAT,DKI JAKARTA,28,Good
14,3175061007,CAKUNG,Cakung Barat,JAKARTA TIMUR,DKI JAKARTA,181,Poor
15,3175061004,CAKUNG,Cakung Timur,JAKARTA TIMUR,DKI JAKARTA,373,Hazardous
16,3175041007,KRAMAT JATI,Cawang,JAKARTA TIMUR,DKI JAKARTA,33,Good
17,3175101008,CIPAYUNG,Ceger,JAKARTA TIMUR,DKI JAKARTA,487,Hazardous
118,3173011004,CENGKARENG,Kedaung Kali Angke,JAKARTA BARAT,DKI JAKARTA,53,Fair
50,3173011002,CENGKARENG,Duri Kosambi,JAKARTA BARAT,DKI JAKARTA,244,Very Poor
21,3173011001,CENGKARENG,Cengkareng Barat,JAKARTA BARAT,DKI JAKARTA,380,Hazardous
219,3173011003,CENGKARENG,Rawa Buaya,JAKARTA BARAT,DKI JAKARTA,161,Poor
22,3173011006,CENGKARENG,Cengkareng Timur,JAKARTA BARAT,DKI JAKARTA,82,Fair
94,3173011005,CENGKARENG,Kapuk,JAKARTA BARAT,DKI JAKARTA,277,Very Poor
62,3173021001,GROGOL PETAMBURAN,Grogol,JAKARTA BARAT,DKI JAKARTA,462,Hazardous
254,3173021002,GROGOL PETAMBURAN,Tanjung Duren Utara,JAKARTA BARAT,DKI JAKARTA,322,Hazardous
260,3173021003,GROGOL PETAMBURAN,Tomang,JAKARTA BARAT,DKI JAKARTA,333,Hazardous
253,3173021005,GROGOL PETAMBURAN,Tanjung Duren Selatan,JAKARTA BARAT,DKI JAKARTA,243,Very Poor
77,3173021004,GROGOL PETAMBURAN,Jelambar,JAKARTA BARAT,DKI JAKARTA,170,Poor
78,3173021006,GROGOL PETAMBURAN,Jelambar Baru,JAKARTA BARAT,DKI JAKARTA,98,Fair
88,3173061004,KALI DERES,Kamal,JAKARTA BARAT,DKI JAKARTA,470,Hazardous
228,3173061002,KALI DERES,Semanan,JAKARTA BARAT,DKI JAKARTA,332,Hazardous
174,3173061005,KALI DERES,Pegadungan,JAKARTA BARAT,DKI JAKARTA,76,Fair
86,3173061001,KALI DERES,Kalideres,JAKARTA BARAT,DKI JAKARTA,408,Hazardous
258,3173061003,KALI DERES,Tegal Alur,JAKARTA BARAT,DKI JAKARTA,256,Very Poor
239,3173051003,KEBON JERUK,Sukabumi Selatan,JAKARTA BARAT,DKI JAKARTA,151,Poor
121,3173051004,KEBON JERUK,Kelapa Dua,JAKARTA BARAT,DKI JAKARTA,228,Very Poor
119,3173051007,KEBON JERUK,Kedoya Selatan,JAKARTA BARAT,DKI JAKARTA,487,Hazardous
240,3173051002,KEBON JERUK,Sukabumi Utara,JAKARTA BARAT,DKI JAKARTA,444,Hazardous
110,3173051001,KEBON JERUK,Kebon Jeruk,JAKARTA BARAT,DKI JAKARTA,411,Hazardous
120,3173051006,KEBON JERUK,Kedoya Utara,JAKARTA BARAT,DKI JAKARTA,152,Poor
49,3173051005,KEBON JERUK,Duri Kepa,JAKARTA BARAT,DKI JAKARTA,60,Fair
127,3173081006,KEMBANGAN,Kembangan Selatan,JAKARTA BARAT,DKI JAKARTA,88,Fair
161,3173081003,KEMBANGAN,Meruya Selatan,JAKARTA BARAT,DKI JAKARTA,445,Hazardous
162,3173081002,KEMBANGAN,Meruya Utara,JAKARTA BARAT,DKI JAKARTA,295,Very Poor
81,3173081005,KEMBANGAN,Joglo,JAKARTA BARAT,DKI JAKARTA,413,Hazardous
237,3173081004,KEMBANGAN,Srengseng,JAKARTA BARAT,DKI JAKARTA,340,Hazardous
128,3173081001,KEMBANGAN,Kembangan Utara,JAKARTA BARAT,DKI JAKARTA,409,Hazardous
134,3173071003,PALMERAH,Kota Bambu Utara,JAKARTA BARAT,DKI JAKARTA,431,Hazardous
133,3173071006,PALMERAH,Kota Bambu Selatan,JAKARTA BARAT,DKI JAKARTA,8,Good
236,3173071002,PALMERAH,Slipi,JAKARTA BARAT,DKI JAKARTA,267,Very Poor
74,3173071004,PALMERAH,Jati Pulo,JAKARTA BARAT,DKI JAKARTA,167,Poor
125,3173071005,PALMERAH,Kemanggisan,JAKARTA BARAT,DKI JAKARTA,22,Good
167,3173071001,PALMERAH,Palmerah,JAKARTA BARAT,DKI JAKARTA,81,Fair
60,3173031007,TAMAN SARI,Glodok,JAKARTA BARAT,DKI JAKARTA,139,Poor
194,3173031008,TAMAN SARI,Pinangsia,JAKARTA BARAT,DKI JAKARTA,299,Very Poor
151,3173031005,TAMAN SARI,Mangga Besar,JAKARTA BARAT,DKI JAKARTA,154,Poor
251,3173031004,TAMAN SARI,Tangki,JAKARTA BARAT,DKI JAKARTA,81,Fair
104,3173031006,TAMAN SARI,Keagungan,JAKARTA BARAT,DKI JAKARTA,53,Fair
138,3173031002,TAMAN SARI,Krukut,JAKARTA BARAT,DKI JAKARTA,49,Good
155,3173031003,TAMAN SARI,Maphar,JAKARTA BARAT,DKI JAKARTA,417,Hazardous
247,3173031001,TAMAN SARI,Taman Sari,JAKARTA BARAT,DKI JAKARTA,34,Good
225,3173041010,TAMBORA,Roa Malaka,JAKARTA BARAT,DKI JAKARTA,437,Hazardous
53,3173041003,TAMBORA,Duri Utara,JAKARTA BARAT,DKI JAKARTA,223,Very Poor
52,3173041011,TAMBORA,Duri Selatan,JAKARTA BARAT,DKI JAKARTA,401,Hazardous
248,3173041001,TAMBORA,Tambora,JAKARTA BARAT,DKI JAKARTA,21,Good
80,3173041008,TAMBORA,Jembatan Lima,JAKARTA BARAT,DKI JAKARTA,113,Poor
79,3173041006,TAMBORA,Jembatan Besi,JAKARTA BARAT,DKI JAKARTA,26,Good
249,3173041004,TAMBORA,Tanah Sereal,JAKARTA BARAT,DKI JAKARTA,312,Hazardous
181,3173041009,TAMBORA,Pekojan,JAKARTA BARAT,DKI JAKARTA,328,Hazardous
19,3171051002,CEMPAKA PUTIH,Cempaka Putih Barat,JAKARTA PUSAT,DKI JAKARTA,44,Good
20,3171051001,CEMPAKA PUTIH,Cempaka Putih Timur,JAKARTA PUSAT,DKI JAKARTA,230,Very Poor
112,3171011005,GAMBIR,Kebon Kelapa,JAKARTA PUSAT,DKI JAKARTA,390,Hazardous
55,3171011001,GAMBIR,Gambir,JAKARTA PUSAT,DKI JAKARTA,450,Hazardous
189,3171011004,GAMBIR,Petojo Selatan,JAKARTA PUSAT,DKI JAKARTA,389,Hazardous
190,3171011003,GAMBIR,Petojo Utara,JAKARTA PUSAT,DKI JAKARTA,470,Hazardous
24,3171011002,GAMBIR,Cideng,JAKARTA PUSAT,DKI JAKARTA,22,Good
51,3171011006,GAMBIR,Duri Pulo,JAKARTA PUSAT,DKI JAKARTA,185,Poor
54,3171081003,JOHAR BARU,Galur,JAKARTA PUSAT,DKI JAKARTA,290,Very Poor
92,3171081002,JOHAR BARU,Kampung Rawa,JAKARTA PUSAT,DKI JAKARTA,372,Hazardous
250,3171081004,JOHAR BARU,Tanah Tinggi,JAKARTA PUSAT,DKI JAKARTA,255,Very Poor
82,3171081001,JOHAR BARU,Johar Baru,JAKARTA PUSAT,DKI JAKARTA,254,Very Poor
267,3171031008,KEMAYORAN,Utan Panjang,JAKARTA PUSAT,DKI JAKARTA,251,Very Poor
242,3171031007,KEMAYORAN,Sumur Batu,JAKARTA PUSAT,DKI JAKARTA,449,Hazardous
233,3171031004,KEMAYORAN,Serdang,JAKARTA PUSAT,DKI JAKARTA,218,Very Poor
67,3171031005,KEMAYORAN,Gunung Sahari Selatan,JAKARTA PUSAT,DKI JAKARTA,262,Very Poor
126,3171031001,KEMAYORAN,Kemayoran,JAKARTA PUSAT,DKI JAKARTA,161,Poor
18,3171031006,KEMAYORAN,Cempaka Baru,JAKARTA PUSAT,DKI JAKARTA,331,Hazardous
113,3171031002,KEMAYORAN,Kebon Kosong,JAKARTA PUSAT,DKI JAKARTA,497,Hazardous
61,3171061004,MENTENG,Gondangdia,JAKARTA PUSAT,DKI JAKARTA,17,Good
27,3171061003,MENTENG,Cikini,JAKARTA PUSAT,DKI JAKARTA,174,Poor
117,3171061005,MENTENG,Kebon Sirih,JAKARTA PUSAT,DKI JAKARTA,143,Poor
175,3171061002,MENTENG,Pegangsaan,JAKARTA PUSAT,DKI JAKARTA,117,Poor
158,3171061001,MENTENG,Menteng,JAKARTA PUSAT,DKI JAKARTA,57,Fair
170,3171021001,SAWAH BESAR,Pasar Baru,JAKARTA PUSAT,DKI JAKARTA,286,Very Poor
101,3171021003,SAWAH BESAR,Kartini,JAKARTA PUSAT,DKI JAKARTA,157,Poor
68,3171021004,SAWAH BESAR,Gunung Sahari Utara,JAKARTA PUSAT,DKI JAKARTA,270,Very Poor
152,3171021005,SAWAH BESAR,Mangga Dua Selatan,JAKARTA PUSAT,DKI JAKARTA,334,Hazardous
96,3171021002,SAWAH BESAR,Karang Anyar,JAKARTA PUSAT,DKI JAKARTA,406,Hazardous
129,3171041002,SENEN,Kenari,JAKARTA PUSAT,DKI JAKARTA,360,Hazardous
141,3171041005,SENEN,Kwitang,JAKARTA PUSAT,DKI JAKARTA,260,Very Poor
135,3171041004,SENEN,Kramat,JAKARTA PUSAT,DKI JAKARTA,426,Hazardous
232,3171041001,SENEN,Senen,JAKARTA PUSAT,DKI JAKARTA,331,Hazardous
173,3171041003,SENEN,Paseban,JAKARTA PUSAT,DKI JAKARTA,133,Poor
59,3171071001,TANAH ABANG,Gelora,JAKARTA PUSAT,DKI JAKARTA,236,Very Poor
90,3171071007,TANAH ABANG,Kampung Bali,JAKARTA PUSAT,DKI JAKARTA,242,Very Poor
111,3171071006,TANAH ABANG,Kebon Kacang,JAKARTA PUSAT,DKI JAKARTA,363,Hazardous
115,3171071005,TANAH ABANG,Kebon Melati,JAKARTA PUSAT,DKI JAKARTA,297,Very Poor
100,3171071003,TANAH ABANG,Karet Tengsin,JAKARTA PUSAT,DKI JAKARTA,338,Hazardous
187,3171071004,TANAH ABANG,Petamburan,JAKARTA PUSAT,DKI JAKARTA,324,Hazardous
36,3174061005,CILANDAK,Cipete Selatan,JAKARTA SELATAN,DKI JAKARTA,70,Fair
201,3174061003,CILANDAK,Pondok Labu,JAKARTA SELATAN,DKI JAKARTA,196,Poor
143,3174061002,CILANDAK,Lebak Bulus,JAKARTA SELATAN,DKI JAKARTA,161,Poor
29,3174061001,CILANDAK,Cilandak Barat,JAKARTA SELATAN,DKI JAKARTA,79,Fair
56,3174061004,CILANDAK,Gandaria Selatan,JAKARTA SELATAN,DKI JAKARTA,411,Hazardous
144,3174091004,JAGAKARSA,Lenteng Agung,JAKARTA SELATAN,DKI JAKARTA,175,Poor
35,3174091006,JAGAKARSA,Cipedak,JAKARTA SELATAN,DKI JAKARTA,317,Hazardous
25,3174091003,JAGAKARSA,Ciganjur,JAKARTA SELATAN,DKI JAKARTA,300,Very Poor
252,3174091005,JAGAKARSA,Tanjung Barat,JAKARTA SELATAN,DKI JAKARTA,8,Good
238,3174091002,JAGAKARSA,Srengseng Sawah,JAKARTA SELATAN,DKI JAKARTA,448,Hazardous
71,3174091001,JAGAKARSA,Jagakarsa,JAKARTA SELATAN,DKI JAKARTA,77,Fair
227,3174071004,KEBAYORAN BARU,Selong,JAKARTA SELATAN,DKI JAKARTA,376,Hazardous
211,3174071007,KEBAYORAN BARU,Pulo,JAKARTA SELATAN,DKI JAKARTA,117,Poor
231,3174071006,KEBAYORAN BARU,Senayan,JAKARTA SELATAN,DKI JAKARTA,171,Poor
218,3174071005,KEBAYORAN BARU,Rawa Barat,JAKARTA SELATAN,DKI JAKARTA,210,Very Poor
137,3174071003,KEBAYORAN BARU,Kramat Pela,JAKARTA SELATAN,DKI JAKARTA,301,Hazardous
157,3174071001,KEBAYORAN BARU,Melawai,JAKARTA SELATAN,DKI JAKARTA,306,Hazardous
188,3174071008,KEBAYORAN BARU,Petogogan,JAKARTA SELATAN,DKI JAKARTA,369,Hazardous
37,3174071010,KEBAYORAN BARU,Cipete Utara,JAKARTA SELATAN,DKI JAKARTA,96,Fair
57,3174071009,KEBAYORAN BARU,Gandaria Utara,JAKARTA SELATAN,DKI JAKARTA,121,Poor
66,3174071002,KEBAYORAN BARU,Gunung,JAKARTA SELATAN,DKI JAKARTA,23,Good
63,3174051005,KEBAYORAN LAMA,Grogol Selatan,JAKARTA SELATAN,DKI JAKARTA,182,Poor
107,3174051001,KEBAYORAN LAMA,Kebayoran Lama Utara,JAKARTA SELATAN,DKI JAKARTA,185,Poor
106,3174051006,KEBAYORAN LAMA,Kebayoran Lama Selatan,JAKARTA SELATAN,DKI JAKARTA,429,Hazardous
64,3174051004,KEBAYORAN LAMA,Grogol Utara,JAKARTA SELATAN,DKI JAKARTA,175,Poor
44,3174051003,KEBAYORAN LAMA,Cipulir,JAKARTA SELATAN,DKI JAKARTA,328,Hazardous
202,3174051002,KEBAYORAN LAMA,Pondok Pinang,JAKARTA SELATAN,DKI JAKARTA,228,Very Poor
139,3174031005,MAMPANG PRAPATAN,Kuningan Barat,JAKARTA SELATAN,DKI JAKARTA,145,Poor
259,3174031004,MAMPANG PRAPATAN,Tegal Parang,JAKARTA SELATAN,DKI JAKARTA,287,Very Poor
150,3174031001,MAMPANG PRAPATAN,Mampang Prapatan,JAKARTA SELATAN,DKI JAKARTA,456,Hazardous
182,3174031003,MAMPANG PRAPATAN,Pela Mampang,JAKARTA SELATAN,DKI JAKARTA,78,Fair
28,3174081006,PANCORAN,Cikoko,JAKARTA SELATAN,DKI JAKARTA,171,Poor
48,3174081004,PANCORAN,Duren Tiga,JAKARTA SELATAN,DKI JAKARTA,176,Poor
168,3174081001,PANCORAN,Pancoran,JAKARTA SELATAN,DKI JAKARTA,213,Very Poor
183,3174081005,PANCORAN,Pengadegan,JAKARTA SELATAN,DKI JAKARTA,385,Hazardous
85,3174081002,PANCORAN,Kalibata,JAKARTA SELATAN,DKI JAKARTA,280,Very Poor
105,3174041007,PASAR MINGGU,Kebagusan,JAKARTA SELATAN,DKI JAKARTA,358,Hazardous
178,3174041006,PASAR MINGGU,Pejaten Barat,JAKARTA SELATAN,DKI JAKARTA,254,Very Poor
73,3174041002,PASAR MINGGU,Jati Padang,JAKARTA SELATAN,DKI JAKARTA,455,Hazardous
172,3174041001,PASAR MINGGU,Pasar Minggu,JAKARTA SELATAN,DKI JAKARTA,19,Good
179,3174041005,PASAR MINGGU,Pejaten Timur,JAKARTA SELATAN,DKI JAKARTA,149,Poor
30,3174041003,PASAR MINGGU,Cilandak Timur,JAKARTA SELATAN,DKI JAKARTA,441,Hazardous
214,3174041004,PASAR MINGGU,Ragunan,JAKARTA SELATAN,DKI JAKARTA,471,Hazardous
186,3174101001,PESANGGRAHAN,Pesanggrahan,JAKARTA SELATAN,DKI JAKARTA,60,Fair
264,3174101005,PESANGGRAHAN,Ulujami,JAKARTA SELATAN,DKI JAKARTA,451,Hazardous
191,3174101004,PESANGGRAHAN,Petukangan Selatan,JAKARTA SELATAN,DKI JAKARTA,110,Poor
192,3174101003,PESANGGRAHAN,Petukangan Utara,JAKARTA SELATAN,DKI JAKARTA,230,Very Poor
234,3174021001,SETIA BUDI,Setia Budi,JAKARTA SELATAN,DKI JAKARTA,434,Hazardous
65,3174021007,SETIA BUDI,Guntur,JAKARTA SELATAN,DKI JAKARTA,152,Poor
99,3174021002,SETIA BUDI,Karet Semanggi,JAKARTA SELATAN,DKI JAKARTA,112,Poor
97,3174021004,SETIA BUDI,Karet,JAKARTA SELATAN,DKI JAKARTA,349,Hazardous
98,3174021003,SETIA BUDI,Karet Kuningan,JAKARTA SELATAN,DKI JAKARTA,107,Poor
171,3174021006,SETIA BUDI,Pasar Manggis,JAKARTA SELATAN,DKI JAKARTA,57,Fair
159,3174021005,SETIA BUDI,Menteng Atas,JAKARTA SELATAN,DKI JAKARTA,320,Hazardous
140,3174021008,SETIA BUDI,Kuningan Timur,JAKARTA SELATAN,DKI JAKARTA,37,Good
160,3174011003,TEBET,Menteng Dalam,JAKARTA SELATAN,DKI JAKARTA,228,Very Poor
154,3174011006,TEBET,Manggarai Selatan,JAKARTA SELATAN,DKI JAKARTA,182,Poor
108,3174011004,TEBET,Kebon Baru,JAKARTA SELATAN,DKI JAKARTA,132,Poor
257,3174011001,TEBET,Tebet Timur,JAKARTA SELATAN,DKI JAKARTA,202,Very Poor
153,3174011007,TEBET,Manggarai,JAKARTA SELATAN,DKI JAKARTA,274,Very Poor
256,3174011002,TEBET,Tebet Barat,JAKARTA SELATAN,DKI JAKARTA,52,Fair
263,3175061006,CAKUNG,Ujung Menteng,JAKARTA TIMUR,DKI JAKARTA,163,Poor
222,3175061002,CAKUNG,Rawa Terate,JAKARTA TIMUR,DKI JAKARTA,54,Fair
75,3175061001,CAKUNG,Jatinegara,JAKARTA TIMUR,DKI JAKARTA,73,Fair
213,3175061005,CAKUNG,Pulo Gebang,JAKARTA TIMUR,DKI JAKARTA,405,Hazardous
184,3175061003,CAKUNG,Penggilingan,JAKARTA TIMUR,DKI JAKARTA,193,Poor
235,3175101005,CIPAYUNG,Setu,JAKARTA TIMUR,DKI JAKARTA,326,Hazardous
203,3175101003,CIPAYUNG,Pondok Ranggon,JAKARTA TIMUR,DKI JAKARTA,396,Hazardous
163,3175101004,CIPAYUNG,Munjul,JAKARTA TIMUR,DKI JAKARTA,183,Poor
31,3175101002,CIPAYUNG,Cilangkap,JAKARTA TIMUR,DKI JAKARTA,299,Very Poor
146,3175101007,CIPAYUNG,Lubang Buaya,JAKARTA TIMUR,DKI JAKARTA,88,Fair
34,3175101001,CIPAYUNG,Cipayung,JAKARTA TIMUR,DKI JAKARTA,152,Poor
215,3175091005,CIRACAS,Rambutan,JAKARTA TIMUR,DKI JAKARTA,272,Very Poor
246,3175091004,CIRACAS,Susukan,JAKARTA TIMUR,DKI JAKARTA,198,Poor
122,3175091003,CIRACAS,Kelapa Dua Wetan,JAKARTA TIMUR,DKI JAKARTA,463,Hazardous
45,3175091001,CIRACAS,Ciracas,JAKARTA TIMUR,DKI JAKARTA,161,Poor
23,3175091002,CIRACAS,Cibubur,JAKARTA TIMUR,DKI JAKARTA,138,Poor
148,3175071006,DUREN SAWIT,Malaka Jaya,JAKARTA TIMUR,DKI JAKARTA,360,Hazardous
200,3175071007,DUREN SAWIT,Pondok Kopi,JAKARTA TIMUR,DKI JAKARTA,297,Very Poor
149,3175071005,DUREN SAWIT,Malaka Sari,JAKARTA TIMUR,DKI JAKARTA,324,Hazardous
131,3175071003,DUREN SAWIT,Klender,JAKARTA TIMUR,DKI JAKARTA,117,Poor
198,3175071002,DUREN SAWIT,Pondok Bambu,JAKARTA TIMUR,DKI JAKARTA,495,Hazardous
47,3175071001,DUREN SAWIT,Duren Sawit,JAKARTA TIMUR,DKI JAKARTA,328,Hazardous
199,3175071004,DUREN SAWIT,Pondok Kelapa,JAKARTA TIMUR,DKI JAKARTA,129,Poor
220,3175031004,JATINEGARA,Rawa Bunga,JAKARTA TIMUR,DKI JAKARTA,449,Hazardous
91,3175031001,JATINEGARA,Kampung Melayu,JAKARTA TIMUR,DKI JAKARTA,379,Hazardous
40,3175031008,JATINEGARA,Cipinang Besar Utara,JAKARTA TIMUR,DKI JAKARTA,138,Poor
41,3175031005,JATINEGARA,Cipinang Cempedak,JAKARTA TIMUR,DKI JAKARTA,15,Good
39,3175031007,JATINEGARA,Cipinang Besar Selatan,JAKARTA TIMUR,DKI JAKARTA,346,Hazardous
43,3175031006,JATINEGARA,Cipinang Muara,JAKARTA TIMUR,DKI JAKARTA,304,Hazardous
46,3175041003,KRAMAT JATI,Dukuh,JAKARTA TIMUR,DKI JAKARTA,472,Hazardous
136,3175041001,KRAMAT JATI,Kramat Jati,JAKARTA TIMUR,DKI JAKARTA,135,Poor
93,3175041002,KRAMAT JATI,Kampung Tengah,JAKARTA TIMUR,DKI JAKARTA,121,Poor
32,3175041006,KRAMAT JATI,Cililitan,JAKARTA TIMUR,DKI JAKARTA,316,Hazardous
193,3175081002,MAKASAR,Pinang Ranti,JAKARTA TIMUR,DKI JAKARTA,125,Poor
42,3175081005,MAKASAR,Cipinang Melayu,JAKARTA TIMUR,DKI JAKARTA,63,Fair
147,3175081001,MAKASAR,Makasar,JAKARTA TIMUR,DKI JAKARTA,280,Very Poor
116,3175081003,MAKASAR,Kebon Pala,JAKARTA TIMUR,DKI JAKARTA,42,Good
69,3175081004,MAKASAR,Halim Perdana Kusumah,JAKARTA TIMUR,DKI JAKARTA,357,Hazardous
195,3175011001,MATRAMAN,Pisangan Baru,JAKARTA TIMUR,DKI JAKARTA,276,Very Poor
114,3175011005,MATRAMAN,Kebon Manggis,JAKARTA TIMUR,DKI JAKARTA,54,Fair
102,3175011003,MATRAMAN,Kayu Manis,JAKARTA TIMUR,DKI JAKARTA,128,Poor
266,3175011002,MATRAMAN,Utan Kayu Utara,JAKARTA TIMUR,DKI JAKARTA,363,Hazardous
265,3175011006,MATRAMAN,Utan Kayu Selatan,JAKARTA TIMUR,DKI JAKARTA,80,Fair
180,3175051005,PASAR REBO,Pekayon,JAKARTA TIMUR,DKI JAKARTA,443,Hazardous
58,3175051001,PASAR REBO,Gedong,JAKARTA TIMUR,DKI JAKARTA,29,Good
87,3175051004,PASAR REBO,Kalisari,JAKARTA TIMUR,DKI JAKARTA,30,Good
26,3175051003,PASAR REBO,Cijantung,JAKARTA TIMUR,DKI JAKARTA,110,Poor
76,3175021004,PULO GADUNG,Jatinegara Kaum,JAKARTA TIMUR,DKI JAKARTA,206,Very Poor
212,3175021001,PULO GADUNG,Pulo Gadung,JAKARTA TIMUR,DKI JAKARTA,294,Very Poor
38,3175021003,PULO GADUNG,Cipinang,JAKARTA TIMUR,DKI JAKARTA,258,Very Poor
196,3175021002,PULO GADUNG,Pisangan Timur,JAKARTA TIMUR,DKI JAKARTA,246,Very Poor
72,3175021007,PULO GADUNG,Jati,JAKARTA TIMUR,DKI JAKARTA,268,Very Poor
103,3175021006,PULO GADUNG,Kayu Putih,JAKARTA TIMUR,DKI JAKARTA,356,Hazardous
223,3175021005,PULO GADUNG,Rawamangun,JAKARTA TIMUR,DKI JAKARTA,289,Very Poor
156,3172041003,CILINCING,Marunda,JAKARTA UTARA,DKI JAKARTA,446,Hazardous
84,3172041004,CILINCING,Kali Baru,JAKARTA UTARA,DKI JAKARTA,86,Fair
226,3172041006,CILINCING,Rorotan,JAKARTA UTARA,DKI JAKARTA,49,Good
230,3172041005,CILINCING,Semper Timur,JAKARTA UTARA,DKI JAKARTA,383,Hazardous
33,3172041001,CILINCING,Cilincing,JAKARTA UTARA,DKI JAKARTA,292,Very Poor
229,3172041007,CILINCING,Semper Barat,JAKARTA UTARA,DKI JAKARTA,400,Hazardous
123,3172061003,KELAPA GADING,Kelapa Gading Barat,JAKARTA UTARA,DKI JAKARTA,376,Hazardous
176,3172061002,KELAPA GADING,Pegangsaan Dua,JAKARTA UTARA,DKI JAKARTA,353,Hazardous
124,3172061001,KELAPA GADING,Kelapa Gading Timur,JAKARTA UTARA,DKI JAKARTA,122,Poor
132,3172031001,KOJA,Koja,JAKARTA UTARA,DKI JAKARTA,474,Hazardous
261,3172031005,KOJA,Tugu Selatan,JAKARTA UTARA,DKI JAKARTA,49,Good
142,3172031003,KOJA,Lagoa,JAKARTA UTARA,DKI JAKARTA,11,Good
262,3172031002,KOJA,Tugu Utara,JAKARTA UTARA,DKI JAKARTA,247,Very Poor
165,3172051001,PADEMANGAN,Pademangan Timur,JAKARTA UTARA,DKI JAKARTA,82,Fair
164,3172051002,PADEMANGAN,Pademangan Barat,JAKARTA UTARA,DKI JAKARTA,21,Good
89,3172011002,PENJARINGAN,Kamal Muara,JAKARTA UTARA,DKI JAKARTA,194,Poor
95,3172011003,PENJARINGAN,Kapuk Muara,JAKARTA UTARA,DKI JAKARTA,287,Very Poor
185,3172011001,PENJARINGAN,Penjaringan,JAKARTA UTARA,DKI JAKARTA,113,Poor
197,3172011005,PENJARINGAN,Pluit,JAKARTA UTARA,DKI JAKARTA,216,Very Poor
177,3172011004,PENJARINGAN,Pejagalan,JAKARTA UTARA,DKI JAKARTA,278,Very Poor
268,3172021007,TANJUNG PRIOK,Warakas,JAKARTA UTARA,DKI JAKARTA,439,Hazardous
243,3172021004,TANJUNG PRIOK,Sungai Bambu,JAKARTA UTARA,DKI JAKARTA,38,Good
109,3172021005,TANJUNG PRIOK,Kebon Bawang,JAKARTA UTARA,DKI JAKARTA,415,Hazardous
245,3172021002,TANJUNG PRIOK,Sunter Jaya,JAKARTA UTARA,DKI JAKARTA,208,Very Poor
244,3172021006,TANJUNG PRIOK,Sunter Agung,JAKARTA UTARA,DKI JAKARTA,137,Poor
208,3101021003,KEP. SERIBU SELATAN,Pulau Pari,KAB.ADM.KEP.SERIBU,DKI JAKARTA,82,Fair
209,3101021002,KEP. SERIBU SELATAN,Pulau Tidung,KAB.ADM.KEP.SERIBU,DKI JAKARTA,105,Poor
205,3101011003,KEP. SERIBU UTARA,Pulau Harapan,KAB.ADM.KEP.SERIBU,DKI JAKARTA,430,Hazardous
206,3101011002,KEP. SERIBU UTARA,Pulau Kelapa,KAB.ADM.KEP.SERIBU,DKI JAKARTA,53,Fair
207,3101011001,KEP. SERIBU UTARA,Pulau Panggang,KAB.ADM.KEP.SERIBU,DKI JAKARTA,207,Very Poor
